"","","","Largo","Tipo","","","","","","","","","","","",""
"","CAMPOS","DESCRIPCIÓN","","","Validación","","Fiscal","Cons.","Déb.","Créd.","Compras","Menor.","Espec.","Guber.","Export.","Exterior"
"","","","","","","","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr.","Electr."
"","","","Max","","","","","","","","","","","","",""
"","","","","","","","31","32","33","34","41","43","44","45","46","47"
"","","Indica el tipo de pago del cliente.","","","a) Código Tipo:","","","","","","","","","","",""
"","Tipo de Pago","Las 
facturas  por  entrega  gratuita","","","1: Contado","","","","","","","","","","",""
"9","","","1","NUM","","N","1","1","1","1","1","3","1","1","1","3"
"","<TipoPago>","(código  3),  no 
son 
válidas  para","","","2: Crédito","","","","","","","","","","",""
"","","crédito fiscal.","","","3: Gratuito","","","","","","","","","","",""
"","","","","","Fecha válida:","","","","","","","","","","",""
"","","Solo 
para 
facturas 
a 
crédito.","","","a) Formato","","","","","","","","","","",""
"","Fecha Límite de Pago","","","ALFA","","","","","","","","","","","",""
"10","","Condicional a que el tipo de pago sea","10","","dd-MM-AAAA","N","2","2","2","2","2","0","2","2","2","3"
"","<FechaLimitePago>","","","NUM","","","","","","","","","","","",""
"","","a crédito.","","","b)  Fecha 
límite  de  pago  debe  ser  ≥","","","","","","","","","","",""
"","","","","","Fecha de emisión.","","","","","","","","","","",""
"","","Indica el tiempo establecido para el","","","","","","","","","","","","","",""
"","","pago 
de 
la 
factura 
y 
se 
debe","","","","","","","","","","","","","",""
"","","especificar si  el mismo es en horas,","","","","","","","","","","","","","",""
"","","días, semanas, meses u otro.","","","","","","","","","","","","","",""
"","Término de Pago","","","ALFA","a) Sin Validación.","","","","","","","","","","",""
"11","","Ejemplo:","15","","","N","3","3","3","0","3","0","3","3","3","3"
"","<TerminoPago>","","","NUM","","","","","","","","","","","",""
"","","1) 
72 horas","","","","","","","","","","","","","",""
